0,1,2,3,4,5,6,7,8
14048223625216.000000,319277809664.000000,7256313856.000000,164916224.000000,3748096.000000,85184.000000,1936.000000,44.000000,11.880935
16815125390625.000000,373669453125.000000,8303765625.000000,184528125.000000,4100625.000000,91125.000000,2025.000000,45.000000,10.896169
20047612231936.000000,435817657216.000000,9474296896.000000,205962976.000000,4477456.000000,97336.000000,2116.000000,46.000000,10.257757
23811286661761.000000,506623120463.000000,10779215329.000000,229345007.000000,4879681.000000,103823.000000,2209.000000,47.000000,10.003206
28179280429056.000000,587068342272.000000,12230590464.000000,254803968.000000,5308416.000000,110592.000000,2304.000000,48.000000,10.163562
33232930569601.000000,678223072849.000000,13841287201.000000,282475249.000000,5764801.000000,117649.000000,2401.000000,49.000000,10.762543
39062500000000.000000,781250000000.000000,15625000000.000000,312500000.000000,6250000.000000,125000.000000,2500.000000,50.000000,11.815807
45767944570401.000000,897410677851.000000,17596287801.000000,345025251.000000,6765201.000000,132651.000000,2601.000000,51.000000,13.330364
53459728531456.000000,1028071702528.000000,19770609664.000000,380204032.000000,7311616.000000,140608.000000,2704.000000,52.000000,15.304151
62259690411361.000000,1174711139837.000000,22164361129.000000,418195493.000000,7890481.000000,148877.000000,2809.000000,53.000000,17.725787
72301961339136.000000,1338925209984.000000,24794911296.000000,459165024.000000,8503056.000000,157464.000000,2916.000000,54.000000,20.574515
83733937890625.000000,1522435234375.000000,27680640625.000000,503284375.000000,9150625.000000,166375.000000,3025.000000,55.000000,23.820327
96717311574016.000000,1727094849536.000000,30840979456.000000,550731776.000000,9834496.000000,175616.000000,3136.000000,56.000000,27.424298
111429157112001.000000,1954897493193.000000,34296447249.000000,601692057.000000,10556001.000000,185193.000000,3249.000000,57.000000,31.339094
128063081718016.000000,2207984167552.000000,38068692544.000000,656356768.000000,11316496.000000,195112.000000,3364.000000,58.000000,35.509681
146830437604321.000000,2488651484819.000000,42180533641.000000,714924299.000000,12117361.000000,205379.000000,3481.000000,59.000000,39.874198
167961600000000.000000,2799360000000.000000,46656000000.000000,777600000.000000,12960000.000000,216000.000000,3600.000000,60.000000,44.365001
191707312997281.000000,3142742836021.000000,51520374361.000000,844596301.000000,13845841.000000,226981.000000,3721.000000,61.000000,48.909842
218340105584896.000000,3521614606208.000000,56800235584.000000,916132832.000000,14776336.000000,238328.000000,3844.000000,62.000000,53.433182
248155780267521.000000,3938980639167.000000,62523502209.000000,992436543.000000,15752961.000000,250047.000000,3969.000000,63.000000,57.857593
281474976710656.000000,4398046511104.000000,68719476736.000000,1073741824.000000,16777216.000000,262144.000000,4096.000000,64.000000,62.105241
318644812890625.000000,4902227890625.000000,75418890625.000000,1160290625.000000,17850625.000000,274625.000000,4225.000000,65.000000,66.099416
360040606269696.000000,5455160701056.000000,82653950016.000000,1252332576.000000,18974736.000000,287496.000000,4356.000000,66.000000,69.766069
406067677556641.000000,6060711605323.000000,90458382169.000000,1350125107.000000,20151121.000000,300763.000000,4489.000000,67.000000,73.035344
457163239653376.000000,6722988818432.000000,98867482624.000000,1453933568.000000,21381376.000000,314432.000000,4624.000000,68.000000,75.843057
513798374428641.000000,7446353252589.000000,107918163081.000000,1564031349.000000,22667121.000000,328509.000000,4761.000000,69.000000,78.132105
576480100000000.000000,8235430000000.000000,117649000000.000000,1680700000.000000,24010000.000000,343000.000000,4900.000000,70.000000,79.853765
645753531245761.000000,9095120158391.000000,128100283921.000000,1804229351.000000,25411681.000000,357911.000000,5041.000000,71.000000,80.968859
722204136308736.000000,10030613004288.000000,139314069504.000000,1934917632.000000,26873856.000000,373248.000000,5184.000000,72.000000,81.448763
806460091894081.000000,11047398519097.000000,151334226289.000000,2073071593.000000,28398241.000000,389017.000000,5329.000000,73.000000,81.276224
899194740203776.000000,12151280273024.000000,164206490176.000000,2219006624.000000,29986576.000000,405224.000000,5476.000000,74.000000,80.445986
1001129150390625.000000,13348388671875.000000,177978515625.000000,2373046875.000000,31640625.000000,421875.000000,5625.000000,75.000000,78.965182
1113034787454976.000000,14645194571776.000000,192699928576.000000,2535525376.000000,33362176.000000,438976.000000,5776.000000,76.000000,76.853504
1235736291547681.000000,16048523266853.000000,208422380089.000000,2706784157.000000,35153041.000000,456533.000000,5929.000000,77.000000,74.143126
1370114370683136.000000,17565568854912.000000,225199600704.000000,2887174368.000000,37015056.000000,474552.000000,6084.000000,78.000000,70.878386
1517108809906561.000000,19203908986159.000000,243087455521.000000,3077056399.000000,38950081.000000,493039.000000,6241.000000,79.000000,67.115223
1677721600000000.000000,20971520000000.000000,262144000000.000000,3276800000.000000,40960000.000000,512000.000000,6400.000000,80.000000,62.920376
1853020188851841.000000,22876792454961.000000,282429536481.000000,3486784401.000000,43046721.000000,531441.000000,6561.000000,81.000000,58.370361
2044140858654976.000000,24928547056768.000000,304006671424.000000,3707398432.000000,45212176.000000,551368.000000,6724.000000,82.000000,53.550232
2252292232139041.000000,27136050989627.000000,326940373369.000000,3939040643.000000,47458321.000000,571787.000000,6889.000000,83.000000,48.552151
2478758911082496.000000,29509034655744.000000,351298031616.000000,4182119424.000000,49787136.000000,592704.000000,7056.000000,84.000000,43.473796
2724905250390625.000000,32057708828125.000000,377149515625.000000,4437053125.000000,52200625.000000,614125.000000,7225.000000,85.000000,38.416623
2992179271065856.000000,34792782221696.000000,404567235136.000000,4704270176.000000,54700816.000000,636056.000000,7396.000000,86.000000,33.484022
3282116715437121.000000,37725479487783.000000,433626201009.000000,4984209207.000000,57289761.000000,658503.000000,7569.000000,87.000000,28.779401
3596345248055296.000000,40867559636992.000000,464404086784.000000,5277319168.000000,59969536.000000,681472.000000,7744.000000,88.000000,24.404221
3936588805702081.000000,44231334895529.000000,496981290961.000000,5584059449.000000,62742241.000000,704969.000000,7921.000000,89.000000,20.456037
4304672100000000.000000,47829690000000.000000,531441000000.000000,5904900000.000000,65610000.000000,729000.000000,8100.000000,90.000000,17.026572
4702525276151521.000000,51676101935731.000000,567869252041.000000,6240321451.000000,68574961.000000,753571.000000,8281.000000,91.000000,14.199859
5132188731375616.000000,55784660123648.000000,606355001344.000000,6590815232.000000,71639296.000000,778688.000000,8464.000000,92.000000,12.050499
5595818096650401.000000,60170087060757.000000,646990183449.000000,6956883693.000000,74805201.000000,804357.000000,8649.000000,93.000000,10.642058
6095689385410816.000000,64847759419264.000000,689869781056.000000,7339040224.000000,78074896.000000,830584.000000,8836.000000,94.000000,10.025647
6634204312890625.000000,69833729609375.000000,735091890625.000000,7737809375.000000,81450625.000000,857375.000000,9025.000000,95.000000,10.238708
7213895789838336.000000,75144747810816.000000,782757789696.000000,8153726976.000000,84934656.000000,884736.000000,9216.000000,96.000000,11.304037
7837433594376961.000000,80798284478113.000000,832972004929.000000,8587340257.000000,88529281.000000,912673.000000,9409.000000,97.000000,13.229063
8507630225817856.000000,86812553324672.000000,885842380864.000000,9039207968.000000,92236816.000000,941192.000000,9604.000000,98.000000,16.005411
9227446944279200.000000,93206534790699.000000,941480149401.000000,9509900499.000000,96059601.000000,970299.000000,9801.000000,99.000000,19.608744
10000000000000000.000000,100000000000000.000000,1000000000000.000000,10000000000.000000,100000000.000000,1000000.000000,10000.000000,100.000000,23.998914
