0,1,2,3,4,5,6,7
21870000000.000000,729000000.000000,24300000.000000,810000.000000,27000.000000,900.000000,30.000000,34.804654
47829690000000.000000,531441000000.000000,5904900000.000000,65610000.000000,729000.000000,8100.000000,90.000000,17.026572
137231006679.000000,3518743761.000000,90224199.000000,2313441.000000,59319.000000,1521.000000,39.000000,20.363925
282621973446656.000000,2436396322816.000000,21003416576.000000,181063936.000000,1560896.000000,13456.000000,116.000000,124.319679
13348388671875.000000,177978515625.000000,2373046875.000000,31640625.000000,421875.000000,5625.000000,75.000000,78.965182
1522435234375.000000,27680640625.000000,503284375.000000,9150625.000000,166375.000000,3025.000000,55.000000,23.820327
268435456.000000,16777216.000000,1048576.000000,65536.000000,4096.000000,256.000000,16.000000,22.266672
1338925209984.000000,24794911296.000000,459165024.000000,8503056.000000,157464.000000,2916.000000,54.000000,20.574515
182803912081669.000000,1677100110841.000000,15386239549.000000,141158161.000000,1295029.000000,11881.000000,109.000000,85.530705
44231334895529.000000,496981290961.000000,5584059449.000000,62742241.000000,704969.000000,7921.000000,89.000000,20.456037
587068342272.000000,12230590464.000000,254803968.000000,5308416.000000,110592.000000,2304.000000,48.000000,10.163562
10460353203.000000,387420489.000000,14348907.000000,531441.000000,19683.000000,729.000000,27.000000,35.606239
318547390056832.000000,2699554153024.000000,22877577568.000000,193877776.000000,1643032.000000,13924.000000,118.000000,127.981014
32057708828125.000000,377149515625.000000,4437053125.000000,52200625.000000,614125.000000,7225.000000,85.000000,38.416623
1727094849536.000000,30840979456.000000,550731776.000000,9834496.000000,175616.000000,3136.000000,56.000000,27.424298
93206534790699.000000,941480149401.000000,9509900499.000000,96059601.000000,970299.000000,9801.000000,99.000000,19.608744
1801088541.000000,85766121.000000,4084101.000000,194481.000000,9261.000000,441.000000,21.000000,30.393335
4586471424.000000,191102976.000000,7962624.000000,331776.000000,13824.000000,576.000000,24.000000,33.979537
34359738368.000000,1073741824.000000,33554432.000000,1048576.000000,32768.000000,1024.000000,32.000000,32.897756
29509034655744.000000,351298031616.000000,4182119424.000000,49787136.000000,592704.000000,7056.000000,84.000000,43.473796
107213535210701.000000,1061520150601.000000,10510100501.000000,104060401.000000,1030301.000000,10201.000000,101.000000,29.120409
62748517.000000,4826809.000000,371293.000000,28561.000000,2197.000000,169.000000,13.000000,17.551845
24928547056768.000000,304006671424.000000,3707398432.000000,45212176.000000,551368.000000,6724.000000,82.000000,53.550232
19487171.000000,1771561.000000,161051.000000,14641.000000,1331.000000,121.000000,11.000000,14.928321
781250000000.000000,15625000000.000000,312500000.000000,6250000.000000,125000.000000,2500.000000,50.000000,11.815807
3938980639167.000000,62523502209.000000,992436543.000000,15752961.000000,250047.000000,3969.000000,63.000000,57.857593
194871710000000.000000,1771561000000.000000,16105100000.000000,146410000.000000,1331000.000000,12100.000000,110.000000,92.780590
2799360000000.000000,46656000000.000000,777600000.000000,12960000.000000,216000.000000,3600.000000,60.000000,44.365001
14645194571776.000000,192699928576.000000,2535525376.000000,33362176.000000,438976.000000,5776.000000,76.000000,76.853504
131593177923584.000000,1265319018496.000000,12166529024.000000,116985856.000000,1124864.000000,10816.000000,104.000000,48.104895
8031810176.000000,308915776.000000,11881376.000000,456976.000000,17576.000000,676.000000,26.000000,35.319152
37725479487783.000000,433626201009.000000,4984209207.000000,57289761.000000,658503.000000,7569.000000,87.000000,28.779401
75144747810816.000000,782757789696.000000,8153726976.000000,84934656.000000,884736.000000,9216.000000,96.000000,11.304037
35831808.000000,2985984.000000,248832.000000,20736.000000,1728.000000,144.000000,12.000000,16.175197
358318080000000.000000,2985984000000.000000,24883200000.000000,207360000.000000,1728000.000000,14400.000000,120.000000,127.459569
8235430000000.000000,117649000000.000000,1680700000.000000,24010000.000000,343000.000000,4900.000000,70.000000,79.853765
20971520000000.000000,262144000000.000000,3276800000.000000,40960000.000000,512000.000000,6400.000000,80.000000,62.920376
78364164096.000000,2176782336.000000,60466176.000000,1679616.000000,46656.000000,1296.000000,36.000000,26.425018
337931541778439.000000,2839760855281.000000,23863536599.000000,200533921.000000,1685159.000000,14161.000000,119.000000,128.252265
1280000000.000000,64000000.000000,3200000.000000,160000.000000,8000.000000,400.000000,20.000000,28.893266
86812553324672.000000,885842380864.000000,9039207968.000000,92236816.000000,941192.000000,9604.000000,98.000000,16.005411
17565568854912.000000,225199600704.000000,2887174368.000000,37015056.000000,474552.000000,6084.000000,78.000000,70.878386
160578147647843.000000,1500730351849.000000,14025517307.000000,131079601.000000,1225043.000000,11449.000000,107.000000,70.408887
22876792454961.000000,282429536481.000000,3486784401.000000,43046721.000000,531441.000000,6561.000000,81.000000,58.370361
612220032.000000,34012224.000000,1889568.000000,104976.000000,5832.000000,324.000000,18.000000,25.636543
1954897493193.000000,34296447249.000000,601692057.000000,10556001.000000,185193.000000,3249.000000,57.000000,31.339094
435817657216.000000,9474296896.000000,205962976.000000,4477456.000000,97336.000000,2116.000000,46.000000,10.257757
27512614111.000000,887503681.000000,28629151.000000,923521.000000,29791.000000,961.000000,31.000000,33.982124
3521614606208.000000,56800235584.000000,916132832.000000,14776336.000000,238328.000000,3844.000000,62.000000,53.433182
105413504.000000,7529536.000000,537824.000000,38416.000000,2744.000000,196.000000,14.000000,19.041007
163840000000.000000,4096000000.000000,102400000.000000,2560000.000000,64000.000000,1600.000000,40.000000,18.363930
80798284478113.000000,832972004929.000000,8587340257.000000,88529281.000000,912673.000000,9409.000000,97.000000,13.229063
1028071702528.000000,19770609664.000000,380204032.000000,7311616.000000,140608.000000,2704.000000,52.000000,15.304151
4398046511104.000000,68719476736.000000,1073741824.000000,16777216.000000,262144.000000,4096.000000,64.000000,62.105241
171382426877952.000000,1586874322944.000000,14693280768.000000,136048896.000000,1259712.000000,11664.000000,108.000000,78.030137
