PetType_1,PetType_2,Breed_1,Breed_2,Breed_3,AgeMonths,Color_1,Color_2,Color_3,Size_1,Size_2,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
1,0,0,1,0,86,0,0,1,1,0,8.475576157915746,1,0,30,405,0,0
0,0,0,0,0,70,0,0,0,0,0,21.3395432490028,1,0,22,413,0,0
0,0,0,0,0,130,0,1,0,1,0,1.4168156015555518,1,0,25,189,0,0
1,1,1,0,1,172,0,0,0,0,0,2.4358662613665123,1,0,28,72,0,0
0,1,0,0,1,2,1,0,0,0,0,18.38139902693828,1,1,84,172,0,0
0,1,0,0,1,102,1,0,0,0,1,10.90856264073517,0,0,39,34,0,0
0,1,0,0,1,35,0,1,1,0,0,28.646174793827857,0,1,67,209,0,0
0,0,0,0,0,98,0,1,1,0,1,27.192530030960786,1,0,5,297,0,1
1,1,1,0,1,30,1,0,0,0,0,21.69748150162451,1,1,65,132,0,0
0,0,0,0,0,116,0,0,0,1,0,24.72622185270624,1,0,15,282,1,0
1,1,1,0,0,8,1,0,0,1,0,20.352623640363106,1,0,67,197,0,1
0,1,0,0,1,150,0,1,1,0,0,4.64188097859466,1,0,40,445,0,0
0,0,0,0,0,44,1,0,0,0,0,23.20075772098688,0,0,69,31,1,0
0,1,0,0,1,36,1,0,0,1,0,7.095567092846545,1,0,77,135,1,0
0,1,0,0,1,77,0,0,0,0,0,10.379842797905706,0,0,43,247,0,0
1,0,0,1,0,31,0,1,0,0,1,24.757792150970186,1,0,1,358,0,1
1,0,0,1,0,47,0,1,1,0,1,16.55924264341,0,0,22,340,1,0
0,0,0,0,0,55,0,0,0,0,1,25.938280711318868,1,0,62,145,0,1
1,0,0,1,1,106,1,0,0,0,1,7.1780242754546615,0,0,79,333,1,1
0,0,0,0,0,158,1,0,0,0,1,18.62557471959973,1,0,26,142,0,1
1,1,1,0,1,121,0,1,0,0,0,3.429938203899587,1,1,18,233,0,0
1,0,1,1,0,55,0,1,1,0,0,19.64876881266086,1,0,48,409,0,0
1,1,1,0,1,144,0,1,1,0,1,23.11348709549051,1,0,9,436,1,1
1,0,1,1,0,12,0,0,1,0,0,17.962995925382927,1,1,1,43,1,0
1,0,1,1,0,145,0,1,1,0,0,8.720713543465497,1,0,9,31,0,0
0,1,0,0,1,144,0,1,0,0,1,1.9089373969071348,1,0,23,230,0,1
0,1,0,0,1,140,0,0,1,0,0,4.4640176349642875,0,0,45,27,0,0
0,0,0,0,0,136,0,0,1,0,0,19.04678639314676,1,0,2,422,0,0
0,1,0,0,1,3,1,0,0,0,0,28.0981862884329,0,0,14,490,1,0
0,0,0,0,0,144,1,0,0,0,1,6.989497715188185,0,0,38,159,0,0
0,1,0,0,1,30,0,1,1,0,0,22.315758324047863,1,0,40,332,1,0
1,0,0,1,0,23,0,0,1,1,0,26.127080834222205,1,0,63,206,0,1
0,0,0,0,0,92,1,0,0,1,0,16.10558317497782,1,0,82,17,1,0
1,1,1,0,0,115,0,1,0,0,1,20.408708079466074,1,1,16,102,1,0
0,1,0,0,1,104,1,0,0,1,0,24.635444183608296,0,0,75,69,0,0
1,1,1,0,1,118,1,0,0,0,1,8.559579574477214,0,1,6,118,0,0
0,1,0,0,1,5,0,0,1,1,0,9.609974553773247,1,1,3,138,0,0
1,1,1,0,1,104,0,0,1,1,0,1.018197982225229,1,0,14,159,0,0
1,1,1,0,1,108,0,0,0,1,0,28.929729796036273,0,0,66,231,0,0
1,1,1,0,1,65,0,1,0,0,1,27.608801943294,1,0,75,147,0,1
1,1,1,0,0,121,0,0,1,0,1,23.17247964902348,1,1,86,352,1,0
0,0,0,0,0,30,0,1,1,0,0,3.2932046083227955,1,0,67,423,0,0
1,1,1,0,1,149,0,1,0,0,1,13.977583801285736,1,1,31,391,1,0
0,1,0,0,1,84,0,1,0,1,0,3.9548608651750317,1,0,33,242,1,0
1,1,1,0,1,150,0,0,1,1,0,1.4616877506211594,1,0,88,34,1,0
1,1,1,0,1,32,0,1,0,0,1,18.869305991165323,0,0,1,324,0,0
1,1,1,0,0,161,0,0,1,0,1,28.864053095325463,1,0,44,381,0,1
0,1,0,0,1,16,1,0,0,0,1,27.183172679532355,1,0,15,354,0,1
0,0,0,0,0,38,0,0,0,0,0,21.205889633126727,0,0,37,238,0,0
0,1,0,0,1,142,1,0,0,1,0,3.8025769407812713,1,0,27,333,0,0
1,1,1,0,0,36,0,0,1,0,0,8.950757092496705,1,0,48,148,1,0
0,1,0,0,1,151,0,0,1,0,0,10.281645079673439,1,1,27,110,0,0
1,0,1,1,0,114,1,0,0,1,0,23.131351674621275,0,1,12,407,0,0
0,1,0,0,1,66,0,1,1,1,0,24.265226197818308,1,0,67,16,1,0
1,0,0,1,1,105,0,1,1,0,1,12.168077566707693,1,0,30,401,0,1
1,1,1,0,0,85,0,1,1,0,1,13.11863590191068,0,0,87,225,0,0
1,0,1,1,0,2,0,0,1,0,0,2.2907621390089687,1,0,66,139,1,1
1,0,0,1,1,75,0,1,0,0,1,9.384964834144068,1,0,7,143,0,1
1,0,0,1,1,67,0,0,1,0,1,14.087270138151558,1,0,34,259,0,1
0,0,0,0,0,151,0,1,0,1,0,4.39250834517247,0,1,32,216,0,0
1,0,0,1,1,154,1,0,0,1,0,14.144756361895618,1,1,39,161,1,0
1,0,0,1,0,55,0,0,0,0,1,25.74209855547621,1,0,43,91,0,1
1,0,0,1,1,6,0,1,0,1,0,17.858309572026545,1,0,43,173,0,1
0,1,0,0,1,163,0,1,1,0,1,3.288965796113957,1,0,78,330,0,1
0,1,0,0,1,150,0,0,1,1,0,6.558468246077956,1,0,3,204,0,0
0,1,0,0,1,171,1,0,0,1,0,14.76178615459813,0,0,46,414,0,0
0,0,0,0,0,143,0,1,1,1,0,11.48312734483255,1,0,32,152,0,0
0,0,0,0,0,86,1,0,0,1,0,11.403083566836864,1,0,43,102,0,0
0,0,0,0,0,60,0,0,0,0,1,16.348755996164115,1,1,81,201,0,0
1,0,0,1,0,101,0,0,1,0,0,17.947481726094264,0,0,3,279,0,0
0,0,0,0,0,12,0,0,1,1,0,24.10898553800954,1,1,74,64,0,0
1,0,0,1,0,49,0,0,0,0,1,10.888030340412055,1,1,63,116,0,0
1,0,1,1,0,42,0,0,1,0,1,24.358522208177018,1,1,40,152,0,0
0,0,0,0,0,166,0,1,0,1,0,10.819725644266343,0,0,18,155,0,0
1,1,1,0,0,82,1,0,0,0,0,2.607556679295781,0,0,67,163,1,0
0,1,0,0,1,173,0,1,1,1,0,17.071441879138945,0,0,62,81,1,0
0,0,0,0,0,35,0,0,0,0,1,18.049167421949623,1,0,10,5,0,1
1,0,1,1,0,158,0,1,0,0,0,28.101667123033945,0,0,52,321,0,0
1,0,0,1,0,158,0,1,1,0,1,22.055778455811758,0,0,73,66,0,0
0,0,0,0,0,134,0,1,1,1,0,27.615406922338746,0,0,46,237,0,0
1,1,1,0,1,67,0,0,0,0,0,27.34206909704728,1,0,55,71,0,0
1,0,0,1,0,80,0,1,0,0,1,18.53264919748902,0,1,46,94,0,0
0,1,0,0,1,7,0,1,1,0,1,16.305099894756978,1,0,75,303,1,1
0,1,0,0,1,14,0,1,1,0,1,17.165788047744396,0,0,60,466,0,1
1,1,1,0,0,73,0,1,0,1,0,29.371593422640185,1,0,26,497,0,0
0,0,0,0,0,143,0,0,1,0,0,23.421863060661806,1,0,27,325,1,0
1,0,0,1,0,149,0,1,1,1,0,4.081711238979479,1,0,38,77,0,0
1,0,0,1,0,163,1,0,0,1,0,23.574423796660597,1,0,22,66,0,0
1,1,1,0,0,66,0,1,0,1,0,5.945603418048551,1,0,26,175,1,0
1,0,0,1,1,91,0,1,1,0,0,13.973165921163144,1,0,86,320,1,1
1,1,1,0,0,130,0,0,0,1,0,7.103330493119494,1,0,69,171,1,0
0,0,0,0,0,163,1,0,0,1,0,20.997908900463663,1,0,35,477,0,0
1,1,1,0,0,20,0,1,1,1,0,26.441982349598035,1,0,66,254,0,1
0,0,0,0,0,10,1,0,0,1,0,9.420494675633748,1,0,73,62,1,1
1,0,0,1,0,25,1,0,0,0,1,3.3783114950374413,1,0,51,301,0,1
0,0,0,0,0,25,0,0,1,1,0,9.656299844173935,1,1,18,402,1,0
1,1,1,0,1,54,1,0,0,0,1,20.49849388003364,1,1,43,245,0,0
0,1,0,0,1,33,0,0,1,1,0,10.534043699079048,0,0,12,191,0,0
1,0,0,1,0,164,0,1,0,0,0,9.0652528590603,0,0,3,466,1,0
0,0,0,0,0,95,0,0,1,0,1,6.348620526943684,1,0,82,328,0,1
0,1,0,0,1,14,0,0,0,0,1,15.427976379358572,0,0,7,70,0,1
0,0,0,0,0,65,0,1,1,0,1,9.00251601655844,1,0,6,365,0,1
1,0,0,1,1,110,0,1,0,0,1,22.19930012504501,0,0,82,228,0,1
0,1,0,0,1,80,0,1,0,0,0,3.2220496577738786,1,0,45,433,0,0
0,1,0,0,1,54,0,0,0,1,0,20.25695796022821,1,0,86,62,0,0
1,1,1,0,0,125,0,0,1,0,1,7.889240422465326,1,0,39,296,0,1
0,0,0,0,0,131,0,1,1,0,0,15.18909857049649,1,0,51,244,1,0
0,0,0,0,0,169,0,0,1,0,1,9.296607738906557,0,0,9,6,0,0
1,0,0,1,0,134,1,0,0,1,0,21.960291604313074,0,0,23,392,1,0
0,0,0,0,0,25,0,0,1,0,1,28.413904167297463,1,0,12,259,0,1
1,0,0,1,1,141,0,1,0,0,0,27.595226604624585,1,0,88,88,0,1
0,1,0,0,1,117,0,1,1,1,0,17.91936023917864,1,0,62,176,0,0
0,0,0,0,0,136,0,0,1,0,0,14.415698794452373,1,0,73,203,1,0
0,0,0,0,0,149,0,1,1,1,0,24.730714773742072,1,0,77,133,1,0
0,0,0,0,0,25,0,1,1,1,0,20.816464516204167,1,0,40,81,1,0
1,1,1,0,1,79,1,0,0,1,0,6.323359312291053,1,0,54,487,0,0
1,1,1,0,1,68,1,0,0,0,1,24.806657194777006,0,0,81,20,0,0
1,0,1,1,0,173,0,1,0,0,0,13.437647292446595,1,0,7,398,1,0
1,0,0,1,1,12,0,0,0,0,0,6.480584139164078,1,0,17,127,1,1
1,1,1,0,1,32,0,1,1,0,0,9.17212316149828,0,1,50,194,1,0
0,1,0,0,1,128,0,0,0,1,0,8.758283877201928,1,1,24,193,0,0
0,1,0,0,1,96,0,1,0,0,1,16.057002263500344,0,0,2,183,1,0
0,1,0,0,1,92,0,1,1,1,0,7.79673262965839,1,1,83,246,0,0
0,1,0,0,1,141,0,1,1,0,0,4.583428134645709,1,0,33,360,0,0
1,1,1,0,1,31,0,0,0,0,1,4.587034667799061,1,0,21,359,0,1
0,0,0,0,0,78,0,0,1,0,1,17.9150097170338,1,0,74,323,0,1
0,1,0,0,1,20,1,0,0,0,1,22.30801937663198,1,1,53,159,1,1
1,1,1,0,0,146,0,0,1,0,0,10.324457256311883,1,0,46,193,1,0
0,1,0,0,1,60,0,0,0,0,1,2.004870584606495,1,1,45,109,1,0
1,0,0,1,0,134,1,0,0,0,1,4.689521721173311,1,0,9,412,0,1
1,1,1,0,0,160,0,0,1,1,0,27.526142249774654,1,0,6,65,0,0
1,0,0,1,1,93,1,0,0,1,0,15.312766128094138,1,0,51,417,1,1
0,0,0,0,0,43,0,1,1,0,1,14.153611478840068,0,0,35,253,0,0
1,1,1,0,0,130,0,0,1,0,1,2.1034261709926367,1,0,82,282,1,1
0,1,0,0,1,60,1,0,0,1,0,22.130473647190072,0,0,53,59,0,0
1,0,0,1,1,151,1,0,0,1,0,16.31397434703029,0,0,19,117,0,0
0,0,0,0,0,31,1,0,0,1,0,6.860347146509103,1,0,69,422,0,0
0,0,0,0,0,5,0,0,1,0,0,4.192139045250658,0,0,25,43,1,0
1,1,1,0,1,162,0,1,0,0,0,12.118248045327956,1,1,11,485,0,0
0,0,0,0,0,10,0,0,1,1,0,25.277696961655742,1,0,74,209,0,1
1,0,1,1,0,89,0,0,0,0,1,26.09354221682971,1,0,17,35,1,1
1,0,0,1,1,130,0,0,1,1,0,18.482545031473457,1,0,36,18,0,1
0,0,0,0,0,126,1,0,0,0,0,22.098556389674137,1,0,21,90,1,0
1,1,1,0,1,11,0,1,1,0,1,4.339517834683241,0,1,18,300,0,0
0,1,0,0,1,178,0,0,1,0,0,18.05565589856779,1,1,60,211,0,0
0,0,0,0,0,159,0,0,1,0,1,20.342005401128272,1,0,18,404,1,1
0,0,0,0,0,56,1,0,0,0,0,6.820672444499974,1,0,1,406,0,0
1,1,1,0,1,83,0,1,1,0,1,26.52448725439751,1,1,14,221,0,0
0,1,0,0,1,137,0,1,1,0,1,6.654905388109573,1,1,8,216,0,0
0,1,0,0,1,99,0,0,0,0,1,10.090843435547063,1,1,66,222,0,0
1,0,0,1,1,149,0,0,1,0,1,18.9961485636803,1,1,51,410,0,1
1,1,1,0,0,73,0,1,1,0,0,19.51215188879119,0,0,79,97,0,0
1,1,1,0,1,156,0,1,1,0,0,21.28215748863365,1,0,60,455,1,0
0,1,0,0,1,115,0,1,0,0,1,4.248339678977965,1,0,34,18,1,1
1,1,1,0,0,7,0,1,0,0,1,25.634468467928105,0,0,36,296,0,1
1,1,1,0,0,80,0,1,1,0,0,16.452566836214537,1,0,62,25,0,0
1,0,0,1,1,144,0,0,0,0,1,14.668332029046983,1,0,1,27,0,1
1,0,0,1,1,97,0,1,1,0,1,29.451831110891778,1,0,85,63,0,1
0,0,0,0,0,4,1,0,0,0,1,22.470970611289573,0,0,42,323,0,1
1,0,1,1,0,4,0,0,1,1,0,4.422174771961871,1,0,1,222,0,1
1,1,1,0,1,103,0,0,0,0,1,22.93963584956098,0,0,84,79,0,0
1,1,1,0,0,40,1,0,0,1,0,3.762219085213215,1,0,54,50,0,0
1,0,0,1,1,17,0,0,0,0,1,1.7966463128765606,0,1,47,457,0,1
1,0,0,1,0,101,1,0,0,0,0,12.705150962827016,1,1,39,101,1,0
1,1,1,0,1,103,0,0,1,1,0,29.813767011757342,1,0,30,175,1,0
1,0,1,1,0,124,0,0,1,1,0,6.071634149651016,1,0,7,9,0,0
0,1,0,0,1,52,0,1,0,0,1,20.50668596227691,0,0,22,236,1,0
1,1,1,0,1,52,1,0,0,0,1,6.028485919977461,1,0,50,456,0,1
0,0,0,0,0,164,0,1,0,1,0,22.018822273793194,1,0,45,422,1,0
0,1,0,0,1,124,1,0,0,0,0,15.655256378896958,1,0,74,99,0,0
0,0,0,0,0,166,0,1,0,0,0,20.719179592591914,1,1,72,498,1,0
0,0,0,0,0,178,0,0,1,0,1,6.883322101512803,1,0,10,377,0,1
0,1,0,0,1,63,0,0,0,0,0,22.623221643094556,1,0,14,227,0,0
0,0,0,0,0,116,0,1,0,0,0,29.872952729058493,0,0,46,402,0,0
1,0,0,1,0,62,1,0,0,0,1,20.30386451815283,0,0,75,63,0,0
1,1,1,0,1,7,1,0,0,0,0,15.310919944113452,1,0,6,379,0,1
1,0,1,1,0,155,0,0,1,0,1,27.77204566995868,0,1,21,18,0,0
1,1,1,0,1,92,1,0,0,1,0,1.4597034247244127,1,0,62,331,1,0
0,0,0,0,0,14,0,1,1,0,1,22.16778205928881,1,0,19,317,0,1
0,0,0,0,0,86,0,0,0,1,0,26.773648987600573,1,0,88,140,0,0
0,1,0,0,1,133,0,1,0,1,0,2.788562925007766,0,0,82,24,0,0
0,1,0,0,1,130,0,0,0,0,0,14.051860942056987,0,0,62,227,1,0
1,0,0,1,1,62,0,0,1,0,0,6.936864164549968,1,0,83,88,1,1
0,1,0,0,1,149,0,1,0,0,0,17.429026802047073,1,0,53,91,1,0
0,0,0,0,0,79,0,1,0,0,1,19.836745799506154,1,0,24,41,0,1
1,1,1,0,1,149,0,1,1,0,0,9.776072304933896,0,1,56,372,0,0
1,0,0,1,0,138,0,0,1,1,0,14.339468420664923,0,0,62,294,0,0
0,1,0,0,1,58,1,0,0,0,0,9.100845073020226,0,0,34,413,0,0
0,1,0,0,1,120,0,1,1,0,0,11.712343769198299,1,0,22,388,0,0
0,0,0,0,0,167,0,1,1,0,1,5.626658743964284,0,0,68,80,0,0
0,1,0,0,1,133,0,0,0,0,1,26.681223863983313,0,0,57,401,0,0
0,0,0,0,0,65,0,0,0,1,0,1.2903019062149563,0,0,10,106,0,0
1,1,1,0,0,13,0,0,0,0,1,26.589866406869866,1,0,66,110,0,1
0,0,0,0,0,82,0,1,1,0,0,17.578687472142416,1,0,8,276,1,0
0,0,0,0,0,173,1,0,0,0,1,10.618077481133508,1,0,38,213,0,1
0,1,0,0,1,160,0,1,0,1,0,21.96865663834956,0,0,62,230,1,0
0,1,0,0,1,164,0,0,0,0,0,15.724812404017266,1,0,28,305,0,0
0,0,0,0,0,139,1,0,0,1,0,15.474151085120589,1,0,10,120,0,0
0,1,0,0,1,149,0,0,1,0,1,4.1941262046500265,0,1,45,133,0,0
1,0,0,1,1,52,0,0,0,0,1,12.295964752416852,0,0,65,305,1,1
0,1,0,0,1,117,0,1,0,1,0,7.990866029845362,1,0,67,207,0,0
0,1,0,0,1,26,0,0,1,0,0,1.4551812622921099,0,0,9,449,1,0
0,0,0,0,0,34,0,0,1,0,1,11.442889292681285,0,0,5,370,0,0
1,1,1,0,1,52,0,1,0,0,1,3.6048417533425376,1,0,10,256,0,1
1,0,0,1,0,112,0,0,0,0,0,8.448071094030372,1,1,12,184,1,0
0,1,0,0,1,82,0,1,1,0,1,3.682982014309739,1,0,82,285,0,1
1,0,0,1,1,157,0,1,0,1,0,3.9273071411355667,1,1,58,441,1,0
1,1,1,0,0,166,0,1,0,0,1,6.77132753804046,1,0,21,362,0,1
0,0,0,0,0,42,0,1,0,0,1,29.995628090105605,1,0,21,179,0,1
1,1,1,0,1,21,0,0,1,0,0,1.0633401428602145,0,0,65,420,1,0
0,0,0,0,0,42,1,0,0,1,0,19.521506447491753,1,0,3,47,1,0
0,0,0,0,0,141,0,1,1,0,0,5.096067242770163,0,0,69,86,0,0
0,1,0,0,1,113,0,0,0,0,1,27.698215964612498,1,1,89,384,1,0
0,1,0,0,1,105,0,0,0,0,1,3.7153539066752477,1,0,64,18,0,1
1,1,1,0,1,17,1,0,0,0,0,28.69683242666086,1,1,49,45,1,0
1,0,0,1,1,120,0,1,0,0,0,18.716865237020862,1,1,72,450,0,0
1,1,1,0,0,137,0,1,1,0,0,1.0367742305492171,1,1,17,385,0,0
0,1,0,0,1,169,0,0,0,1,0,26.926208739587377,1,0,73,55,0,0
1,1,1,0,1,129,0,0,0,0,1,16.12964223964063,1,0,32,228,0,1
1,0,0,1,1,130,0,1,0,0,0,8.617422324584052,1,0,70,144,0,1
0,1,0,0,1,60,1,0,0,0,1,23.251096147953273,1,0,21,91,0,1
0,0,0,0,0,48,0,1,1,1,0,27.87330106271923,1,0,7,81,0,0
0,0,0,0,0,29,1,0,0,1,0,15.027033871257023,1,0,7,224,1,0
1,0,0,1,1,97,1,0,0,1,0,10.151050758850216,1,0,27,78,0,1
0,0,0,0,0,10,0,1,1,1,0,23.879408594112878,0,1,8,149,0,0
0,0,0,0,0,58,0,1,1,0,1,20.771779435865184,1,1,73,360,0,0
0,1,0,0,1,21,0,0,0,1,0,26.7738220287579,1,0,28,282,1,1
0,1,0,0,1,28,0,0,0,1,0,21.082906370074596,1,0,79,310,0,0
0,0,0,0,0,34,0,1,1,0,0,8.062321828086553,1,0,66,484,0,0
0,1,0,0,1,8,0,0,1,1,0,28.018118243011553,1,0,71,159,0,1
0,1,0,0,1,177,0,0,0,0,0,4.040236668973748,0,0,47,315,0,0
1,1,1,0,1,79,0,0,1,1,0,8.770339753098588,0,0,82,364,0,0
1,0,0,1,0,145,0,1,1,1,0,16.08564362399268,1,0,86,466,0,0
1,0,1,1,0,87,0,0,0,0,0,17.40651875605614,0,0,10,155,0,0
0,1,0,0,1,88,1,0,0,1,0,1.4440070121802575,1,0,33,155,0,0
0,1,0,0,1,173,0,1,1,0,1,23.63660904880726,1,0,7,375,0,1
1,1,1,0,0,69,0,1,0,0,1,11.486612234336295,1,1,3,201,0,0
0,1,0,0,1,160,0,0,1,1,0,12.786137689061997,1,0,14,467,0,0
1,1,1,0,0,172,0,1,1,0,1,24.471716788671426,0,0,44,408,1,0
0,0,0,0,0,87,0,1,1,0,0,11.999218360098793,1,0,46,340,1,0
1,0,0,1,1,101,0,0,0,1,0,2.36952141834789,1,0,61,461,0,1
1,1,1,0,1,8,0,0,0,1,0,6.116753343640159,1,0,36,341,0,1
1,1,1,0,1,77,0,0,0,0,0,28.72119199925729,0,0,13,116,0,0
1,1,1,0,1,87,0,1,0,0,0,3.0417555096729108,1,0,16,153,0,0
0,0,0,0,0,43,0,0,0,0,0,11.29300482807247,0,0,80,363,0,0
0,1,0,0,1,129,0,1,1,1,0,15.592195844488993,1,0,5,330,0,0
1,0,0,1,1,109,0,0,0,0,0,15.305143992818241,0,0,89,118,1,0
0,1,0,0,1,179,1,0,0,0,0,1.1148383473521397,0,0,38,198,1,0
1,0,0,1,1,152,0,0,0,0,1,15.53371921226722,0,0,50,400,0,1
1,1,1,0,0,152,0,1,0,0,1,12.129401281344867,1,0,38,465,0,1
0,1,0,0,1,17,1,0,0,1,0,29.190300728762157,1,1,56,262,1,0
0,1,0,0,1,133,0,1,1,0,1,5.615613435821065,1,1,63,183,1,0
0,1,0,0,1,148,0,1,1,0,1,11.270471706025354,1,0,48,447,1,1
0,1,0,0,1,21,0,0,1,0,0,13.164963067604774,1,1,59,147,0,0
0,1,0,0,1,58,1,0,0,0,0,12.330112575927515,1,0,77,165,0,0
0,0,0,0,0,159,0,0,1,0,1,20.309094001904015,1,1,44,74,0,0
0,0,0,0,0,110,1,0,0,0,1,7.249872868885296,0,0,55,235,0,0
1,0,0,1,1,139,1,0,0,0,1,7.411075031605763,1,0,55,313,0,1
0,1,0,0,1,143,0,1,0,1,0,22.14711750652474,1,1,1,271,0,0
0,1,0,0,1,135,0,0,1,1,0,15.50842504166721,1,0,8,178,1,0
0,0,0,0,0,28,0,1,0,1,0,13.039514605662001,1,0,4,282,1,0
0,0,0,0,0,51,1,0,0,0,1,5.906888498640303,0,0,85,50,0,0
1,1,1,0,0,5,0,1,1,0,1,6.438289464452832,0,0,86,74,1,1
1,1,1,0,1,5,1,0,0,1,0,1.3059974676611157,1,0,53,143,0,1
1,1,1,0,1,94,0,1,0,1,0,3.6513617969895678,0,0,58,342,1,0
1,1,1,0,0,96,0,0,1,0,1,17.14832214601699,0,1,37,187,0,0
0,0,0,0,0,8,0,0,1,0,0,26.864320770243886,0,0,49,122,0,0
1,1,1,0,1,64,0,1,0,1,0,9.327778188786166,1,1,67,331,0,0
0,0,0,0,0,138,0,0,1,0,1,10.504669550987716,0,1,19,250,0,0
0,0,0,0,0,38,0,0,0,0,1,4.352562707733854,1,0,1,295,0,1
1,1,1,0,0,111,0,1,1,0,0,12.27029742260598,1,0,29,322,0,0
1,1,1,0,0,112,0,1,1,0,1,2.079429432510546,1,1,87,129,1,0
0,1,0,0,1,81,0,1,1,0,1,27.610420191595107,0,0,33,251,0,0
0,0,0,0,0,136,0,0,1,1,0,20.52022909561133,1,0,52,357,0,0
0,1,0,0,1,104,0,0,1,1,0,29.731715472403348,1,0,41,431,0,0
1,0,0,1,1,153,1,0,0,0,0,26.601871717676318,1,0,23,179,0,1
0,1,0,0,1,73,1,0,0,0,0,14.716727217246428,1,0,5,407,0,0
1,0,0,1,0,178,0,1,1,0,1,16.070865903360932,1,0,71,348,1,1
0,1,0,0,1,49,0,0,0,1,0,6.526705348998622,0,0,57,494,0,0
0,0,0,0,0,36,1,0,0,0,0,14.399140942347113,1,0,6,109,0,0
0,1,0,0,1,126,1,0,0,0,0,27.18780833129154,1,1,49,481,1,0
1,0,0,1,1,68,0,0,1,0,0,2.4747492854388127,0,0,22,467,0,0
0,1,0,0,1,78,0,0,0,0,1,26.043147286950983,1,1,77,337,0,0
0,1,0,0,1,105,0,1,1,1,0,10.887486247635682,1,0,76,77,1,0
1,1,1,0,0,169,1,0,0,0,0,27.085870187792985,0,0,4,465,0,0
1,1,1,0,0,122,0,0,0,1,0,28.285517283903054,0,0,72,1,0,0
1,1,1,0,0,119,0,0,0,0,0,20.455081723055272,0,1,64,320,1,0
0,1,0,0,1,114,0,1,1,0,0,20.268289811187657,1,0,37,275,0,0
1,0,0,1,1,10,0,0,0,1,0,14.129875793553461,0,0,31,289,0,1
0,1,0,0,1,149,0,0,0,1,0,25.230666511767517,0,1,37,296,1,0
1,0,0,1,1,164,0,0,0,1,0,28.886769994565213,0,0,45,168,0,0
1,1,1,0,0,140,1,0,0,0,1,23.477372209834456,1,0,8,239,0,1
0,0,0,0,0,91,0,1,1,0,0,19.036165278944566,1,0,40,458,1,0
0,0,0,0,0,2,0,0,0,0,1,18.596993978818766,1,1,5,474,1,1
0,1,0,0,1,118,0,0,0,1,0,25.634627145926206,0,0,28,22,0,0
1,0,0,1,0,13,1,0,0,0,0,16.69490920736765,1,0,81,293,0,1
1,0,0,1,1,160,0,1,1,0,1,24.311936701215856,1,1,87,171,1,1
0,1,0,0,1,95,0,0,1,0,0,15.757672400053128,1,0,9,322,1,0
0,0,0,0,0,144,1,0,0,0,1,2.8108839742438,1,0,2,317,0,1
1,0,0,1,0,32,0,1,1,1,0,12.134463258220501,1,0,63,395,0,0
0,1,0,0,1,32,0,0,0,0,1,13.888787772473464,1,0,51,285,0,1
1,1,1,0,0,124,0,1,1,0,0,5.106900104611899,0,0,31,478,1,0
1,1,1,0,0,11,0,1,1,0,0,3.9723935464871714,1,1,7,342,1,0
